,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
70,Arab World,ARB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.90816897736,10.3560931369,9.88215041605,9.56129778727,8.6475761948,7.73693705682,7.52570784533,7.10506711161,6.2261369664,,6.24521599038,6.13729247728,6.25186776328,6.50557179607,6.43170650153,6.92374399819,
208,Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.643653967743,0.685239515493,0.760995978569,0.875115943355,0.999349104286,1.16616707391,1.27349528685,1.33280899686,1.54733310273,1.79367950667,1.80610037158,2.00030306048,2.11856082678,2.40818556055,2.28544164322,2.19668394057,2.58399986398,2.64765356955,2.76021250895,2.86073015842,3.08968520888,2.92771949194,2.72173095609,2.81635882957,2.98326456899,3.06470212552,3.28834834742,3.20302280236,3.30205876788,3.2658993014,3.18151246465,3.25922348856,3.454857755,3.69526329678,3.71065899867,3.45213270983,3.34597357782,3.15618826307,3.35964821065,3.33917660382,3.71755829753,3.62262170661,3.62329930294,3.81704155696,4.09121877281,4.20557803566,4.30489221641,4.13614535534,4.42690750345,4.58860965937,4.6725058101,4.57834876161,4.86584983803,4.70036886409,,,
335,Arab World,ARB,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,13.0356472969,16.5088962225,18.1686895397,20.0046688734,21.3702749747,29.2463058579,29.5929888459,31.2728488989,27.7035362529,29.58562143,30.0358490117,27.7315560989,26.3625817909,23.1082965744,5.88210821566,3.0064858195,1.54930432853,4.92029461012,14.9534945033,16.2855126192,11.0782056396,3.32789211768,7.78545815573,15.5926910205,23.4464030599,30.7347986877,47.1380098015,51.1510083104,52.5120986704,50.9350724591,47.4541192257,46.0917598171,46.3269567222,48.9368414601,49.4060558134,49.2572411471,46.2011795375,49.1002469487,57.307433045,56.9329779103,50.098119121,54.0697020853,54.0597461005,52.5417846964,45.7256466946,38.8710695478,36.8490747832,37.3375450639,31.9124866898,44.0647413777,40.0974364602,37.875885921,37.6375016368,40.9474541865,47.3302853502,65.466335071,
367,Arab World,ARB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,195.758411279,210.5923131,229.983268233,254.452335686,281.927089209,324.984765322,368.778527511,425.947277523,513.897374197,575.909341845,622.902276438,712.50397884,768.600695691,854.396689082,881.11035312,958.486830814,996.948196933,1033.98883826,1054.62490567,1070.71995053,1035.70577308,1068.70922695,1123.09252729,1149.58983865,1255.96206449,1293.73616477,1337.85993331,1430.64469358,1481.95896356,1515.04966752,1578.30879818,1646.70262408,1717.46321088,1764.37995142,1838.75887738,1938.1766781,1992.42164476,2081.98918296,2156.49584493,2309.81606471,2350.1610718,2441.39531495,2496.75418876,,,
405,Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,407.324523788,411.951769624,442.402409796,459.362434138,483.850351649,524.814769522,561.243583009,626.712126364,728.20829596,791.405742443,884.064024943,955.19603006,998.460527233,988.849134456,1011.47352034,1031.39546216,1086.31128033,1147.94831137,1174.4462956,1076.57881052,1093.39449785,1148.14095379,1180.12672603,1211.00325361,1264.18767824,1294.02968761,1306.83962551,1299.82412993,1284.26934696,1294.93310313,1344.77872074,1395.88351005,1392.25028734,1441.03751798,1490.97163234,1543.98559445,1578.8806925,1663.47582615,1712.68881066,1774.15794582,1736.99845523,1839.01294821,1814.06353407,,,
421,Arab World,ARB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,37.2150546679,38.7749091527,41.2211436439,57.3073913208,49.9283071307,50.9964507902,45.6955886743,43.0075607972,39.9527683804,45.4017679454,50.5253067086,47.415109476,39.5303099787,34.3946518528,32.5081336222,29.7985795319,24.5327155733,27.6784972013,27.9709778151,29.7377804388,32.0500085941,28.7993001843,30.2987551533,28.5362467703,29.4751395966,31.3446059474,32.7408765209,37.3869139884,33.0807452296,36.2380035105,42.6001077162,40.8691581418,41.6691798193,45.6276023779,48.8364244899,52.6374158365,53.7583129746,53.7206413641,56.9710348487,47.4290884979,49.9340177504,54.7534211732,55.5174768902,53.5562687032,50.8399026217,45.1108436466,
448,Arab World,ARB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.92437552358,6.94642591592,6.96445371647,6.97589192771,6.9788929759,6.97229721806,6.95420483639,6.92625965881,6.88980381441,6.8454087825,6.79589865777,6.74421082041,6.69411485087,6.64672448227,6.60297382933,6.56301723399,6.52482693186,6.48494324741,6.43999677654,6.38825818374,6.327470768,6.25761473783,6.17805891505,6.08997450367,5.99238340771,5.88399795764,5.76169549196,5.62821637632,5.48520454982,5.33509324946,5.18590250466,5.03282421111,4.90251056612,4.74146708325,4.57943142675,4.41096034363,4.26604019958,4.13055727959,4.00381940665,3.88852329787,3.79119668431,3.70538895065,3.63139158,3.57316164749,3.52235756086,3.48515134178,3.45837027599,3.44313489066,3.43703292025,3.43520079273,3.43717717991,3.43419091667,3.42514099552,3.4052067096,3.37497308648,,
495,Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,12.8963334765,8.64886931362,1.91012841624,10.5867781345,10.0738569854,3.97701349418,-3.11042616623,-2.78632310124,1.7054659384,-0.532029518572,0.46894147565,0.60472082988,3.77812694606,2.41116362906,10.7853209114,-1.18728706589,5.09705753883,4.04927973641,3.43712543349,2.92543857439,4.85838566209,4.85751051118,5.28228928106,3.04636637334,5.13068486257,2.19954740421,1.49834259453,4.23335036009,9.71396582458,6.15180223278,7.31353718905,5.65048324994,6.30173561665,1.51004589043,4.68040180662,3.37427431984,5.43491375207,3.44592228323,2.74929122432,3.19479966783,
527,Arab World,ARB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720.36701374,6550.88790867,6913.26729542,7137.73994376,7260.91648984,7406.09592354,7706.2625839,8043.23743527,8502.02296432,8695.6144598,9047.10327158,9281.86897434,9245.8816952,9520.94523986,10519.1590549,11303.6582967,12255.0183158,13032.5359341,13760.7946988,13726.025483,14076.882616,14439.1163438,15179.4098515,15502.7103358,16002.6728242,16428.8063811,
552,Arab World,ARB,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,,,,,,,,,,,66.6218719482,66.7205200195,68.2586898804,69.5220489502,69.9199523926,71.3553924561,73.2274398804,74.2040023804,74.6033782959,76.4819412231,77.7817993164,78.0394210815,78.9477615356,79.8058319092,80.7147674561,80.5687026978,81.2927017212,82.2864532471,82.8176498413,82.5361328125,83.1466827393,83.5946502686,81.015953064,81.5911483765,84.1344604492,82.9328231812,85.2250213623,85.9204711914,86.6564483643,87.9162597656,88.8389968872,89.9732894897,91.4686813354,92.7707824707,93.4525680542,94.2048797607,95.3209991455,96.0035400391,96.8566665649,97.337310791,97.9726867676,97.4242172241,99.0198669434,97.6010894775,97.0270767212,,
